,0
0,7.006156246155944e-07
0,7.006156246155944e-07
0,7.571504011742433e-07
0,8.136851777328921e-07
0,8.702199542915495e-07
0,9.267547308501916e-07
0,9.832895074088473e-07
0,1.039824283967513e-06
0,1.0963590605261467e-06
0,1.1528938370847804e-06
0,1.2094286136434293e-06
0,1.2659633902020985e-06
0,1.3224981667607372e-06
0,1.3790329433194521e-06
0,1.4355677198780265e-06
0,1.4921024964367143e-06
0,1.5486372729953412e-06
0,1.6051720495539731e-06
0,1.6617068261126491e-06
0,1.718241602671281e-06
0,1.7747763792299401e-06
0,1.831311155788628e-06
0,1.8878459323472786e-06
0,1.9443807089058715e-06
0,2.0009154854645628e-06
0,2.057450262023293e-06
0,2.1139850385818605e-06
0,2.1705198151404637e-06
0,2.2270545916991465e-06
0,2.283589368257809e-06
0,2.3401241448164146e-06
0,2.3966589213751007e-06
0,2.453193697933814e-06
0,2.509728474492325e-06
0,2.5662632510510686e-06
0,2.6227980276096853e-06
0,2.679332804168218e-06
0,2.7358675807269187e-06
0,2.7924023572857175e-06
0,2.8489371338442893e-06
0,2.905471910402929e-06
0,2.9620066869616404e-06
0,3.018541463520136e-06
0,3.0750762400789975e-06
0,3.1316110166375998e-06
0,3.188145793196174e-06
0,3.2446805697548967e-06
0,3.3012153463135125e-06
0,3.3577501228722224e-06
0,3.414284899430916e-06
0,3.4708196759894423e-06
0,3.5273544525481233e-06
0,3.5838892291067858e-06
0,3.6404240056652737e-06
0,3.696958782224121e-06
0,3.753493558782729e-06
0,3.8100283353414237e-06
0,3.866563111900002e-06
0,3.923097888458766e-06
0,3.979632665017168e-06
0,4.036167441576087e-06
0,4.092702218134582e-06
0,4.149236994693433e-06
0,4.205771771252039e-06
0,4.262306547810581e-06
0,4.318841324369145e-06
0,4.375376100927891e-06
0,4.431910877486739e-06
0,4.488445654044973e-06
0,4.544980430603886e-06
0,4.6015152071624284e-06
0,4.658049983720943e-06
0,4.714584760279784e-06
0,4.7711195368384284e-06
0,4.827654313397092e-06
0,4.884189089955827e-06
0,4.94072386651443e-06
0,4.997258643073092e-06
0,5.053793419631753e-06
0,5.110328196190389e-06
0,5.16686297274897e-06
0,5.223397749307805e-06
0,5.279932525866168e-06
0,5.336467302424822e-06
0,5.39300207898368e-06
0,5.449536855542448e-06
0,5.506071632100794e-06
0,5.562606408659593e-06
0,5.619141185218269e-06
0,5.675675961776781e-06
0,5.732210738335473e-06
0,5.7887455148941744e-06
0,5.845280291453095e-06
0,5.901815068011502e-06
0,5.958349844570273e-06
0,6.014884621128907e-06
0,6.071419397687212e-06
0,6.127954174246434e-06
0,6.184488950804467e-06
0,6.241023727363252e-06
0,6.29755850392187e-06
0,6.354093280480743e-06
0,6.4106280570392715e-06
0,6.4671628335979695e-06
0,6.523697610156616e-06
0,6.580232386715111e-06
0,6.636767163273919e-06
0,6.693301939832673e-06
0,6.749836716391466e-06
0,6.8063714929498484e-06
0,6.862906269508815e-06
0,6.919441046067289e-06
0,6.975975822625856e-06
0,7.032510599184692e-06
0,7.08904537574295e-06
0,7.145580152301994e-06
0,7.202114928860912e-06
0,7.25864970541877e-06
0,7.315184481977727e-06
0,7.371719258536418e-06
0,7.42825403509504e-06
0,7.484788811653778e-06
0,7.54132358821272e-06
0,7.5978583647714e-06
0,7.654393141329368e-06
0,7.710927917888461e-06
0,7.767462694447034e-06
0,7.823997471005578e-06
0,7.880532247564289e-06
0,7.937067024122713e-06
0,7.993601800681743e-06
0,8.050136577240182e-06
0,8.10667135379864e-06
0,8.163206130357608e-06
0,8.219740906916506e-06
0,8.27627568347437e-06
0,8.332810460033192e-06
0,8.38934523659219e-06
0,8.44588001315117e-06
0,8.502414789709225e-06
0,8.558949566268228e-06
0,8.61548434282628e-06
0,8.672019119385258e-06
0,8.72855389594404e-06
0,8.785088672502556e-06
0,8.841623449061305e-06
0,8.898158225619684e-06
0,8.954693002178675e-06
0,9.011227778737616e-06
0,9.0677625552961e-06
0,9.124297331854197e-06
0,9.18083210841338e-06
0,9.237366884971993e-06
0,9.293901661530552e-06
0,9.35043643808931e-06
0,9.406971214648016e-06
0,9.46350599120646e-06
0,9.520040767765181e-06
0,9.576575544323715e-06
0,9.633110320882359e-06
0,9.689645097440831e-06
0,9.746179874000017e-06
0,9.802714650558273e-06
0,9.859249427116702e-06
0,9.915784203675776e-06
0,9.972318980234037e-06
0,1.0028853756792994e-05
0,1.0085388533351757e-05
0,1.0141923309910753e-05
0,1.0198458086469264e-05
0,1.0254992863027207e-05
0,1.0311527639585903e-05
0,1.0368062416145072e-05
0,1.0424597192703668e-05
0,1.0481131969262392e-05
0,1.0537666745820787e-05
0,1.059420152237967e-05
0,1.0650736298937832e-05
0,1.0707271075496933e-05
0,1.0763805852055358e-05
0,1.082034062861417e-05
0,1.0876875405172729e-05
0,1.0933410181731486e-05
0,1.0989944958290593e-05
0,1.1046479734848872e-05
0,1.1103014511407455e-05
0,1.1159549287966141e-05
0,1.1216084064524648e-05
0,1.1272618841083571e-05
0,1.1329153617642129e-05
0,1.1385688394201132e-05
0,1.1442223170759123e-05
0,1.1498757947317989e-05
0,1.1555292723877104e-05
0,1.1611827500435243e-05
0,1.1668362276993343e-05
0,1.1724897053552528e-05
0,1.1781431830111016e-05
0,1.1837966606670053e-05
0,1.1894501383228268e-05
0,1.1951036159787434e-05
0,1.2007570936345885e-05
0,1.2064105712904595e-05
0,1.2120640489462996e-05
0,1.217717526602196e-05
0,1.2233710042580297e-05
0,1.2290244819139114e-05
0,1.2346779595697626e-05
0,1.240331437225619e-05
0,1.245984914881474e-05
0,1.2516383925374152e-05
0,1.2572918701932213e-05
0,1.2629453478491327e-05
0,1.2685988255049802e-05
0,1.2742523031608415e-05
0,1.2799057808166932e-05
0,1.2855592584726052e-05
0,1.291212736128407e-05
0,1.2968662137842633e-05
0,1.3025196914402158e-05
0,1.3081731690960092e-05
0,1.3138266467519147e-05
0,1.319480124407739e-05
0,1.3251336020635938e-05
0,1.3307870797194782e-05
0,1.3364405573753207e-05
0,1.342094035031205e-05
0,1.3477475126870146e-05
0,1.3534009903429515e-05
0,1.3590544679988092e-05
0,1.3647079456547031e-05
0,1.3703614233106464e-05
0,1.3760149009663983e-05
0,1.3816683786222104e-05
0,1.3873218562781112e-05
0,1.3929753339339603e-05
0,1.398628811589903e-05
0,1.4042822892457512e-05
0,1.409935766901578e-05
0,1.4155892445574756e-05
0,1.4212427222132685e-05
0,1.4268961998691732e-05
0,1.4325496775249784e-05
0,1.4382031551809565e-05
0,1.4438566328367658e-05
0,1.4495101104926907e-05
0,1.4551635881485486e-05
0,1.4608170658042886e-05
0,1.4664705434601142e-05
0,1.4721240211160997e-05
0,1.477777498771966e-05
0,1.4834309764278251e-05
0,1.4890844540836004e-05
0,1.4947379317395398e-05
0,1.5003914093953122e-05
0,1.5060448870512748e-05
0,1.5116983647072099e-05
0,1.5173518423629575e-05
0,1.5230053200188587e-05
0,1.5286587976747652e-05
0,1.5343122753305783e-05
0,1.539965752986418e-05
0,1.5456192306423545e-05
0,1.5512727082981526e-05
0,1.556926185954093e-05
0,1.5625796636099383e-05
0,1.5682331412657232e-05
0,1.573886618921695e-05
0,1.5795400965775197e-05
0,1.5851935742332864e-05
0,1.5908470518891892e-05
0,1.5965005295450595e-05
0,1.6021540072010518e-05
0,1.6078074848568577e-05
0,1.6134609625127606e-05
0,1.619114440168629e-05
0,1.624767917824359e-05
0,1.6304213954802516e-05
0,1.6360748731362018e-05
0,1.6417283507920803e-05
0,1.6473818284479445e-05
0,1.6530353061036603e-05
0,1.658688783759636e-05
0,1.664342261415448e-05
0,1.6699957390714088e-05
0,1.6756492167272005e-05
0,1.6813026943829874e-05
0,1.6869561720389482e-05
0,1.692609649694804e-05
0,1.6982631273506353e-05
0,1.7039166050065354e-05
0,1.7095700826623458e-05
0,1.7152235603183015e-05
0,1.7208770379741345e-05
0,1.726530515630063e-05
0,1.732183993285929e-05
0,1.7378374709416746e-05
0,1.7434909485976608e-05
0,1.7491444262534623e-05
0,1.754797903909221e-05
0,1.760451381565198e-05
0,1.76610485922107e-05
0,1.7717583368769903e-05
0,1.7774118145328085e-05
0,1.7830652921886805e-05
0,1.7887187698445006e-05
0,1.7943722475003584e-05
0,1.8000257251562904e-05
0,1.8056792028121603e-05
0,1.8113326804679937e-05
0,1.8169861581237756e-05
0,1.822639635779715e-05
0,1.8282931134355494e-05
0,1.833946591091456e-05
0,1.8396000687473273e-05
0,1.845253546403187e-05
0,1.8509070240590567e-05
0,1.856560501714884e-05
0,1.8622139793707808e-05
0,1.867867457026562e-05
0,1.873520934682487e-05
0,1.8791744123384086e-05
0,1.8848278899943233e-05
0,1.890481367650056e-05
0,1.8961348453060124e-05
0,1.9017883229617415e-05
0,1.9074418006177022e-05
0,1.913095278273555e-05
0,1.9187487559294832e-05
0,1.9244022335852075e-05
0,1.930055711241189e-05
0,1.9357091888970043e-05
0,1.9413626665528723e-05
0,1.947016144208729e-05
0,1.952669621864588e-05
0,1.9583230995205174e-05
0,1.9639765771764108e-05
0,1.9696300548322912e-05
0,1.9752835324881365e-05
0,1.98093701014383e-05
0,1.986590487799822e-05
0,1.992243965455601e-05
0,1.997897443111546e-05
0,2.0035509207673925e-05
0,2.0092043984232953e-05
0,2.01485787607918e-05
0,2.0205113537349556e-05
0,2.0261648313908727e-05
0,2.0318183090467427e-05
0,2.037471786702579e-05
0,2.0431252643585026e-05
0,2.0487787420143397e-05
0,2.0544322196701317e-05
0,2.0600856973260007e-05
0,2.0657391749819313e-05
0,2.0713926526377925e-05
0,2.0770461302935852e-05
0,2.0826996079495016e-05
0,2.0883530856054027e-05
0,2.094006563261257e-05
0,2.099660040917111e-05
0,2.1053135185729862e-05
0,2.110966996228778e-05
0,2.1166204738846933e-05
0,2.122273951540447e-05
0,2.1279274291965183e-05
0,2.1335809068521812e-05
0,2.1392343845081857e-05
0,2.1448878621639686e-05
0,2.1505413398199273e-05
0,2.1561948174757248e-05
0,2.1618482951316066e-05
0,2.167501772787536e-05
0,2.1731552504433313e-05
0,2.178808728099225e-05
0,2.184462205755095e-05
0,2.1901156834108796e-05
0,2.195769161066842e-05
0,2.2014226387226575e-05
0,2.2070761163785955e-05
0,2.2127295940344282e-05
0,2.2183830716902186e-05
0,2.2240365493461557e-05
0,2.2296900270020148e-05
0,2.2353435046578156e-05
0,2.2409969823138418e-05
0,2.2466504599696633e-05
0,2.2523039376254523e-05
0,2.2579574152813535e-05
0,2.263610892937093e-05
0,2.269264370592978e-05
0,2.2749178482488976e-05
0,2.2805713259046863e-05
0,2.2862248035606047e-05
0,2.2918782812165587e-05
0,2.2975317588724002e-05
0,2.303185236528179e-05
0,2.308838714183996e-05
0,2.314492191839977e-05
0,2.3201456694959106e-05
0,2.325799147151718e-05
0,2.3314526248075767e-05
0,2.3371061024634195e-05
0,2.3427595801193244e-05
0,2.348413057775069e-05
0,2.354066535430952e-05
0,2.359720013086921e-05
0,2.3653734907427924e-05
0,2.371026968398621e-05
0,2.3766804460544795e-05
0,2.3823339237103485e-05
0,2.387987401366213e-05
0,2.393640879022118e-05
0,2.399294356677883e-05
0,2.4049478343338392e-05
0,2.4106013119895797e-05
0,2.4162547896454955e-05
0,2.4219082673012946e-05
0,2.427561744957352e-05
0,2.4332152226132466e-05
0,2.4388687002689957e-05
0,2.4445221779249053e-05
0,2.4501756555807044e-05
0,2.455829133236683e-05
0,2.4614826108925243e-05
0,2.467136088548364e-05
0,2.4727895662041437e-05
0,2.4784430438600953e-05
0,2.4840965215158382e-05
0,2.4897499991718085e-05
0,2.4954034768275995e-05
0,2.50105695448362e-05
0,2.5067104321393587e-05
0,2.5123639097952257e-05
0,2.5180173874510922e-05
0,2.5236708651068924e-05
0,2.5293243427628474e-05
0,2.5349778204188292e-05
0,2.540631298074634e-05
0,2.5462847757304374e-05
0,2.5519382533864046e-05
0,2.557591731042178e-05
0,2.5632452086979117e-05
0,2.5688986863538447e-05
0,2.5745521640097784e-05
0,2.5802056416655657e-05
0,2.5858591193214828e-05
0,2.5915125969773145e-05
0,2.597166074633209e-05
0,2.6028195522890835e-05
0,2.6084730299449555e-05
0,2.6141265076008174e-05
0,2.6197799852565135e-05
0,2.625433462912448e-05
0,2.6310869405683544e-05
0,2.6367404182243095e-05
0,2.642393895880211e-05
0,2.6480473735360616e-05
0,2.6537008511918984e-05
0,2.659354328847734e-05
0,2.665007806503697e-05
0,2.6706612841596333e-05
0,2.6763147618152376e-05
0,2.6819682394712435e-05
0,2.687621717127029e-05
0,2.693275194782784e-05
0,2.6989286724386165e-05
0,2.7045821500946258e-05
0,2.710235627750488e-05
0,2.715889105406349e-05
0,2.7215425830622428e-05
0,2.7271960607182324e-05
0,2.7328495383739997e-05
0,2.7385030160299208e-05
0,2.744156493685606e-05
0,2.7498099713415503e-05
0,2.7554634489972824e-05
0,2.7611169266533617e-05
0,2.76677040430917e-05
0,2.7724238819649346e-05
0,2.778077359620865e-05
0,2.783730837276771e-05
0,2.789384314932374e-05
0,2.795037792588365e-05
0,2.800691270244504e-05
0,2.8063447479003273e-05
0,2.8119982255560634e-05
0,2.8176517032119588e-05
0,2.8233051808679212e-05
0,2.828958658523788e-05
0,2.8346121361795887e-05
0,2.8402656138355444e-05
0,2.8459190914911877e-05
0,2.8515725691470085e-05
0,2.857226046803016e-05
0,2.8628795244587173e-05
0,2.8685330021147353e-05
0,2.8741864797706886e-05
0,2.8798399574266033e-05
0,2.8854934350824326e-05
0,2.89114691273831e-05
0,2.896800390394134e-05
0,2.9024538680498972e-05
0,2.9081073457056777e-05
0,2.913760823361639e-05
0,2.919414301017544e-05
0,2.9250677786732426e-05
0,2.9307212563290397e-05
0,2.936374733985131e-05
0,2.942028211640945e-05
0,2.9476816892968736e-05
0,2.9533351669528327e-05
0,2.95898864460852e-05
0,2.9646421222643303e-05
0,2.9702955999202345e-05
0,2.975949077576124e-05
0,2.9816025552320012e-05
0,2.987256032887925e-05
0,2.9929095105438672e-05
0,2.998562988199585e-05
0,3.0042164658555672e-05
0,3.0098699435112352e-05
0,3.0155234211671814e-05
0,3.0211768988231517e-05
0,3.0268303764788817e-05
0,3.0324838541346883e-05
0,3.0381373317906325e-05
0,3.0437908094465885e-05
0,3.0494442871024233e-05
0,3.0550977647582956e-05
0,3.060751242413992e-05
0,3.0664047200698655e-05
0,3.072058197725845e-05
0,3.077711675381823e-05
0,3.083365153037512e-05
0,3.0890186306934755e-05
0,3.09467210834942e-05
0,3.100325586004995e-05
0,3.105979063661037e-05
0,3.1116325413167975e-05
0,3.11728601897271e-05
0,3.122939496628569e-05
0,3.1285929742845575e-05
0,3.1342464519405104e-05
0,3.1398999295963143e-05
0,3.1455534072521033e-05
0,3.1512068849080035e-05
0,3.156860362563928e-05
0,3.162513840219798e-05
0,3.168167317875695e-05
0,3.173820795531391e-05
0,3.179474273187128e-05
0,3.185127750842923e-05
0,3.1907812284989106e-05
0,3.19643470615499e-05
0,3.2020881838108444e-05
0,3.2077416614667005e-05
0,3.2133951391225796e-05
0,3.219048616778306e-05
0,3.224702094434312e-05
0,3.230355572090243e-05
0,3.2360090497457566e-05
0,3.2416625274018186e-05
0,3.247316005057692e-05
0,3.252969482713287e-05
0,3.258622960369356e-05
0,3.2642764380253866e-05
0,3.269929915681278e-05
0,3.275583393337015e-05
0,3.2812368709928424e-05
0,3.286890348648697e-05
0,3.2925438263044014e-05
0,3.298197303960443e-05
0,3.303850781616311e-05
0,3.3095042592721675e-05
0,3.315157736928048e-05
0,3.320811214583905e-05
0,3.326464692239658e-05
0,3.332118169895681e-05
0,3.3377716475514865e-05
0,3.343425125207504e-05
0,3.349078602863094e-05
0,3.35473208051901e-05
0,3.360385558175009e-05
0,3.3660390358307025e-05
0,3.371692513486691e-05
0,3.377345991142716e-05
0,3.382999468798561e-05
0,3.38865294645437e-05
0,3.394306424110282e-05
0,3.399959901765909e-05
0,3.405613379421773e-05
0,3.411266857077679e-05
0,3.416920334733749e-05
0,3.4225738123894605e-05
0,3.428227290045359e-05
0,3.433880767701295e-05
0,3.439534245356869e-05
0,3.4451877230129926e-05
0,3.450841200668827e-05
0,3.4564946783247034e-05
0,3.462148155980548e-05
0,3.467801633636605e-05
0,3.473455111292393e-05
0,3.47910858894807e-05
0,3.484762066604042e-05
0,3.4904155442597904e-05
0,3.4960690219157115e-05
0,3.5017224995716225e-05
0,3.507375977227446e-05
0,3.513029454883386e-05
0,3.5186829325391514e-05
0,3.524336410194949e-05
0,3.529989887851005e-05
0,3.5356433655066675e-05
0,3.541296843162736e-05
0,3.546950320818601e-05
0,3.552603798474429e-05
0,3.558257276130451e-05
0,3.5639107537859865e-05
0,3.569564231442099e-05
0,3.5752177090978444e-05
0,3.5808711867535534e-05
0,3.586524664409526e-05
0,3.592178142065437e-05
0,3.597831619721315e-05
0,3.6034850973773274e-05
0,3.609138575033093e-05
0,3.614792052688874e-05
0,3.6204455303447994e-05
0,3.626099008000588e-05
0,3.631752485656542e-05
0,3.637405963312374e-05
0,3.6430594409681756e-05
0,3.648712918624095e-05
0,3.654366396279976e-05
0,3.6600198739358306e-05
0,3.6656733515915694e-05
0,3.6713268292476064e-05
0,3.676980306903423e-05
0,3.682633784559295e-05
0,3.688287262215175e-05
0,3.6939407398710185e-05
0,3.699594217527086e-05
0,3.7052476951827754e-05
0,3.710901172838552e-05
0,3.71655465049436e-05
0,3.722208128150437e-05
0,3.727861605806256e-05
0,3.733515083461853e-05
0,3.73916856111791e-05
0,3.744822038773811e-05
0,3.7504755164294967e-05
0,3.7561289940855865e-05
0,3.761782471741375e-05
0,3.7674359493974145e-05
0,3.7730894270531697e-05
0,3.778742904708874e-05
0,3.7843963823649265e-05
0,3.790049860020797e-05
0,3.795703337676631e-05
0,3.801356815332417e-05
0,3.8070102929884274e-05
0,3.81266377064418e-05
0,3.818317248300098e-05
0,3.8239707259558723e-05
0,3.829624203611938e-05
0,3.835277681267637e-05
0,3.840931158923555e-05
0,3.84658463657947e-05
0,3.85223811423509e-05
0,3.8578915918912047e-05
0,3.863545069547049e-05
0,3.8691985472029744e-05
0,3.87485202485871e-05
0,3.8805055025146595e-05
0,3.8861589801706504e-05
0,3.8918124578260274e-05
0,3.897465935482139e-05
0,3.9031194131380153e-05
0,3.9087728907938755e-05
0,3.914426368449621e-05
0,3.9200798461057096e-05
0,3.9257333237614715e-05
0,3.931386801417302e-05
0,3.937040279073202e-05
0,3.942693756729264e-05
0,3.94834723438501e-05
0,3.954000712040744e-05
0,3.959654189696731e-05
0,3.965307667352334e-05
0,3.97096114500835e-05
0,3.976614622664257e-05
0,3.982268100320149e-05
0,3.987921577975885e-05
0,3.9935750556319125e-05
0,3.9992285332878336e-05
0,4.004882010943555e-05
0,4.010535488599593e-05
0,4.0161889662554005e-05
0,4.021842443911225e-05
0,4.0274959215671317e-05
0,4.0331493992230873e-05
0,4.0388028768786785e-05
0,4.044456354534551e-05
0,4.050109832190445e-05
0,4.0557633098464154e-05
0,4.0614167875021855e-05
0,4.067070265158107e-05
0,4.0727237428140196e-05
0,4.078377220469814e-05
0,4.0840306981255705e-05
0,4.0896841757813256e-05
0,4.095337653437394e-05
0,4.100991131093342e-05
0,4.106644608749224e-05
0,4.112298086404967e-05
0,4.1179515640608845e-05
0,4.123605041716825e-05
0,4.1292585193726786e-05
0,4.1349119970283884e-05
0,4.140565474684408e-05
0,4.146218952340112e-05
0,4.1518724299960115e-05
0,4.157525907651956e-05
0,4.163179385307791e-05
0,4.168832862963716e-05
0,4.1744863406192894e-05
0,4.1801398182755555e-05
0,4.1857932959315e-05
0,4.191446773587138e-05
0,4.197100251242822e-05
0,4.202753728898821e-05
0,4.2084072065547986e-05
0,4.2140606842105375e-05
0,4.2197141618663366e-05
0,4.2253676395222435e-05
0,4.2310211171782595e-05
0,4.2366745948339726e-05
0,4.24232807248984e-05
0,4.247981550145697e-05
0,4.253635027801666e-05
0,4.25928850545752e-05
0,4.264941983113525e-05
0,4.270595460769291e-05
0,4.2762489384250594e-05
0,4.281902416080949e-05
0,4.287555893736911e-05
0,4.293209371392764e-05
0,4.29886284904862e-05
0,4.304516326704312e-05
0,4.3101698043602365e-05
0,4.315823282016187e-05
0,4.321476759672098e-05
0,4.327130237327899e-05
0,4.33278371498368e-05
0,4.338437192639624e-05
0,4.3440906702956725e-05
0,4.349744147951643e-05
0,4.355397625607253e-05
0,4.3610511032629934e-05
0,4.3667045809189626e-05
0,4.372358058574745e-05
0,4.3780115362307236e-05
0,4.383665013886659e-05
0,4.389318491542442e-05
0,4.3949719691982166e-05
0,4.400625446854092e-05
0,4.40627892451018e-05
0,4.411932402166101e-05
0,4.417585879821611e-05
0,4.423239357477759e-05
0,4.4288928351333056e-05
0,4.434546312789382e-05
0,4.4401997904452645e-05
0,4.445853268101177e-05
0,4.4515067457570044e-05
0,4.457160223412667e-05
0,4.4628137010688135e-05
0,4.46846717872442e-05
0,4.474120656380206e-05
0,4.4797741340362726e-05
0,4.4854276116922405e-05
0,4.491081089347777e-05
0,4.49673456700384e-05
0,4.5023880446596705e-05
0,4.508041522315554e-05
0,4.5136949999715026e-05
0,4.519348477627477e-05
0,4.5250019552832676e-05
0,4.5306554329389495e-05
0,4.536308910594771e-05
0,4.5419623882507864e-05
0,4.547615865906429e-05
0,4.55326934356267e-05
0,4.5589228212183126e-05
0,4.5645762988743455e-05
0,4.570229776530257e-05
0,4.575883254186026e-05
0,4.581536731841854e-05
0,4.5871902094977285e-05
0,4.592843687153573e-05
0,4.59849716480972e-05
0,4.6041506424652405e-05
0,4.6098041201213344e-05
0,4.615457597777076e-05
0,4.621111075432961e-05
0,4.626764553088574e-05
0,4.6324180307447554e-05
0,4.638071508400374e-05
0,4.643724986056341e-05
0,4.649378463712309e-05
0,4.655031941368068e-05
0,4.660685419024121e-05
0,4.666338896679882e-05
0,4.671992374335713e-05
0,4.677645851991439e-05
0,4.68329932964741e-05
0,4.688952807303174e-05
0,4.694606284959163e-05
0,4.700259762614888e-05
0,4.705913240270893e-05
0,4.7115667179265175e-05
0,4.717220195582729e-05
0,4.722873673238388e-05
0,4.7285271508942016e-05
0,4.734180628550339e-05
0,4.739834106206132e-05
0,4.745487583861867e-05
0,4.751141061517626e-05
0,4.7567945391735966e-05
0,4.7624480168293856e-05
0,4.76810149448536e-05
0,4.773754972141014e-05
0,4.77940844979749e-05
0,4.7850619274531216e-05
0,4.790715405108981e-05
0,4.796368882764941e-05
0,4.802022360420323e-05
0,4.8076758380764544e-05
0,4.813329315732317e-05
0,4.818982793388213e-05
0,4.824636271044197e-05
0,4.8302897486998117e-05
0,4.835943226355732e-05
0,4.841596704011875e-05
0,4.847250181667559e-05
0,4.852903659323468e-05
0,4.8585571369790284e-05
0,4.864210614635241e-05
0,4.869864092290854e-05
0,4.87551756994669e-05
0,4.881171047602638e-05
0,4.886824525258687e-05
0,4.892478002914549e-05
0,4.8981314805701835e-05
0,4.9037849582264164e-05
0,4.909438435882124e-05
0,4.9150919135381035e-05
0,4.92074539119369e-05
0,4.926398868849779e-05
0,4.9320523465056825e-05
0,4.937705824161498e-05
0,4.943359301817144e-05
0,4.949012779472998e-05
0,4.9546662571288975e-05
0,4.960319734784603e-05
0,4.96597321244066e-05
0,4.971626690096447e-05
0,4.977280167752236e-05
0,4.98293364540802e-05
0,4.988587123064155e-05
0,4.994240600720049e-05
0,4.999894078376086e-05
0,5.005547556031795e-05
0,5.011201033687732e-05
0,5.016854511343555e-05
0,5.022507988999325e-05
0,5.028161466655112e-05
0,5.0338149443112085e-05
0,5.039468421967067e-05
0,5.045121899622828e-05
0,5.050775377278694e-05
0,5.0564288549342995e-05
0,5.0620823325903236e-05
0,5.0677358102461614e-05
0,5.0733892879021536e-05
0,5.079042765557971e-05
0,5.084696243213824e-05
0,5.0903497208695586e-05
0,5.0960031985253117e-05
0,5.1016566761814523e-05
0,5.10731015383715e-05
0,5.1129636314931537e-05
0,5.1186171091490904e-05
0,5.124270586804938e-05
0,5.129924064460888e-05
0,5.135577542116636e-05
0,5.141231019772466e-05
0,5.146884497428401e-05
0,5.152537975084185e-05
0,5.158191452740203e-05
0,5.1638449303961125e-05
0,5.169498408051482e-05
0,5.1751518857076186e-05
0,5.1808053633633866e-05
0,5.186458841019247e-05
0,5.1921123186750005e-05
0,5.197765796331206e-05
0,5.203419273987077e-05
0,5.2090727516428825e-05
0,5.214726229298872e-05
0,5.220379706954584e-05
0,5.226033184610591e-05
0,5.23168666226648e-05
0,5.2373401399222395e-05
0,5.2429936175783036e-05
0,5.248647095233946e-05
0,5.25430057288987e-05
0,5.259954050545826e-05
0,5.265607528201554e-05
0,5.271261005857735e-05
0,5.276914483513324e-05
0,5.282567961168948e-05
0,5.288221438824934e-05
0,5.293874916480937e-05
0,5.299528394136251e-05
0,5.305181871792493e-05
0,5.3108353494482174e-05
0,5.316488827104018e-05
0,5.322142304760232e-05
0,5.327795782415683e-05
0,5.3334492600719345e-05
0,5.339102737727754e-05
0,5.3447562153835877e-05
0,5.3504096930394e-05
0,5.3560631706953574e-05
0,5.3617166483512006e-05
0,5.367370126006793e-05
0,5.373023603663036e-05
0,5.3786770813186076e-05
0,5.384330558974981e-05
0,5.3899840366305495e-05
0,5.3956375142865146e-05
0,5.401290991942191e-05
0,5.406944469598333e-05
0,5.4125979472539304e-05
0,5.418251424909695e-05
0,5.4239049025659624e-05
0,5.429558380221624e-05
0,5.435211857877372e-05
0,5.440865335533012e-05
0,5.446518813189088e-05
0,5.4521722908451744e-05
0,5.45782576850081e-05
0,5.4634792461567835e-05
0,5.469132723812538e-05
0,5.474786201468353e-05
0,5.480439679124346e-05
0,5.48609315678019e-05
0,5.4917466344360036e-05
0,5.497400112091855e-05
0,5.503053589747966e-05
0,5.5087070674030765e-05
0,5.514360545059682e-05
0,5.520014022715155e-05
0,5.5256675003712505e-05
0,5.531320978027346e-05
0,5.5369744556828184e-05
0,5.5426279333389665e-05
0,5.548281410994713e-05
0,5.553934888650486e-05
0,5.5595883663065456e-05
0,5.565241843962213e-05
0,5.570895321618001e-05
0,5.5765487992742256e-05
0,5.582202276930186e-05
0,5.5878557545859364e-05
0,5.593509232241743e-05
0,5.599162709897545e-05
0,5.604816187553528e-05
0,5.6104696652094644e-05
0,5.616123142865092e-05
0,5.6217766205207354e-05
0,5.627430098176772e-05
0,5.63308357583236e-05
0,5.638737053488402e-05
0,5.644390531144392e-05
0,5.650044008800086e-05
0,5.6556974864558015e-05
0,5.661350964111546e-05
0,5.667004441767742e-05
0,5.672657919423894e-05
0,5.678311397079736e-05
0,5.6839648747354674e-05
0,5.68961835239147e-05
0,5.6952718300471105e-05
0,5.7009253077032254e-05
0,5.706578785359081e-05
0,5.7122322630149965e-05
0,5.717885740670612e-05
